year,month,day,hour,minute,seconds,jday,wv_height,wnd_dir,wnd_spd,wnd_gspd,atm_prs,air_temp
2.0100000e+03,9.0000000e+00,3.0000000e+01,8.0000000e+00,3.0000000e+01,0.0000000e+00,2.7335417e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,8.0000000e+00,5.0000000e+01,0.0000000e+00,2.7336806e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,9.0000000e+00,1.0000000e+01,0.0000000e+00,2.7338194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,9.0000000e+00,3.0000000e+01,0.0000000e+00,2.7339583e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,9.0000000e+00,5.0000000e+01,0.0000000e+00,2.7340972e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+01,1.0000000e+01,0.0000000e+00,2.7342361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+01,3.0000000e+01,0.0000000e+00,2.7343750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+01,5.0000000e+01,0.0000000e+00,2.7345139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.1000000e+01,1.0000000e+01,0.0000000e+00,2.7346528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.1000000e+01,3.0000000e+01,0.0000000e+00,2.7347917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.1000000e+01,5.0000000e+01,0.0000000e+00,2.7349306e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.2000000e+01,1.0000000e+01,0.0000000e+00,2.7350694e+02, NaN,1.4000000e+02,3.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.2000000e+01,3.0000000e+01,0.0000000e+00,2.7352083e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.2000000e+01,5.0000000e+01,0.0000000e+00,2.7353472e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.3000000e+01,1.0000000e+01,0.0000000e+00,2.7354861e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.3000000e+01,3.0000000e+01,0.0000000e+00,2.7356250e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.3000000e+01,5.0000000e+01,0.0000000e+00,2.7357639e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.4000000e+01,1.0000000e+01,0.0000000e+00,2.7359028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.4000000e+01,3.0000000e+01,0.0000000e+00,2.7360417e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.4000000e+01,5.0000000e+01,0.0000000e+00,2.7361806e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.5000000e+01,1.0000000e+01,0.0000000e+00,2.7363194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.5000000e+01,3.0000000e+01,0.0000000e+00,2.7364583e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.5000000e+01,5.0000000e+01,0.0000000e+00,2.7365972e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.6000000e+01,1.0000000e+01,0.0000000e+00,2.7367361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.6000000e+01,3.0000000e+01,0.0000000e+00,2.7368750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.6000000e+01,5.0000000e+01,0.0000000e+00,2.7370139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.1000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.7000000e+01,1.0000000e+01,0.0000000e+00,2.7371528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.3000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.7000000e+01,3.0000000e+01,0.0000000e+00,2.7372917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.8000000e+01,1.0000000e+01,0.0000000e+00,2.7375694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.8000000e+01,2.7000000e+01,0.0000000e+00,2.7376875e+02, NaN,1.8000000e+02,3.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.8000000e+01,3.0000000e+01,0.0000000e+00,2.7377083e+02, NaN, NaN,0.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.9000000e+01,1.0000000e+01,0.0000000e+00,2.7379861e+02, NaN, NaN,0.0000000e+00, NaN, NaN,7.9000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.9000000e+01,3.2000000e+01,0.0000000e+00,2.7381389e+02, NaN, NaN,0.0000000e+00, NaN, NaN,8.1000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.9000000e+01,5.0000000e+01,0.0000000e+00,2.7382639e+02, NaN, NaN,0.0000000e+00, NaN, NaN,8.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+01,1.0000000e+01,0.0000000e+00,2.7384028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,8.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+01,3.0000000e+01,0.0000000e+00,2.7385417e+02, NaN, NaN,0.0000000e+00, NaN, NaN,8.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+01,5.0000000e+01,0.0000000e+00,2.7386806e+02, NaN,2.8000000e+02,7.0000000e+00, NaN, NaN,8.2000000e+01
